iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
29,1.1790971755981445,-180.2174644870456,0.5052712751429489,-179.1052591001283,-181.0258850955117,1.4631594522862337,0.1,0.004640102386474609,0.10706567764282227,0.055741698,0.064651564,-81.07462959592118,12000,0.8552892208099365,0.0005394714491450373,1.5846207677953506e-05
30,1.2397007942199707,-176.9116549131485,0.3222719033839628,-176.3098345885764,-177.46326882381388,1.4981777920210737,0.1,0.004638195037841797,0.1057426929473877,0.057188552,0.061476458,-90.65833212764392,12000,0.8772175312042236,0.00036632209635214635,9.420834795342546e-06
31,1.1858539581298828,-174.3834392481737,0.2959322679823157,-173.73716038062437,-175.11212809722628,1.5962240412567916,0.1,0.0046160221099853516,0.11168527603149414,0.05690165,0.058683857,-99.0308428396969,12000,0.945965051651001,0.00021554907971631443,8.360768543965831e-06
32,1.1652328968048096,-172.1792223872635,0.27125601154451295,-171.6603757937584,-172.61824539213725,1.7013695786245986,0.1,0.004637479782104492,0.11187911033630371,0.05755046,0.054654878,-106.34568079445356,12000,0.9120283126831055,0.0001842958779126963,5.1638069448455805e-06
33,1.2481567859649658,-170.62463968066427,0.14775160650025387,-170.33334380530673,-170.94954264146352,1.9916916735725103,0.1,0.004648447036743164,0.10762262344360352,0.06003767,0.044924825,-112.77357668307462,12000,0.8800539970397949,8.44006268041265e-05,3.0331369981768545e-06
34,1.2079646587371826,-169.3912187163358,0.1493503669232364,-169.13735352332532,-169.78711829798928,2.224258645125481,0.1,0.00463104248046875,0.1077885627746582,0.05892248,0.040777586,-118.43534088640075,12000,0.8877041339874268,5.291457925470408e-05,3.0712366883989792e-06
35,1.2487678527832031,-168.48223456419421,0.10240603239327939,-168.2815257474377,-168.67010075456497,2.507629661683339,0.1,0.004658222198486328,0.10837364196777344,0.060082357,0.035565283,-123.4400302541801,12000,0.9747815132141113,3.6714537992987454e-05,1.749534023468644e-06
36,1.166431188583374,-167.8037203870571,0.06995496260648426,-167.6610525973275,-167.95705068122115,3.593902930910716,0.1,0.004662513732910156,0.10912251472473145,0.060554102,0.024150481,-127.8763992674678,12000,0.9938137531280518,1.8974464654964995e-05,1.2398518231615747e-06
37,1.1836581230163574,-167.36710724909096,0.054284414560218285,-167.25837502757716,-167.4563919338533,5.49091043043133,0.1,0.004644870758056641,0.11088371276855469,0.058075443,0.017574131,-131.82547006563013,12000,1.043083906173706,7.048420135853785e-06,9.546810841794115e-07
38,1.1700494289398193,-167.06943455511075,0.027169590233129214,-167.0042521533511,-167.1220026649818,5.810467504983227,0.1,0.004907369613647461,0.10720300674438477,0.058093425,0.0165272,-135.3498665145782,12000,0.996936559677124,2.8798046697676514e-06,7.082711449164607e-07
39,1.173114538192749,-166.88370574114373,0.02675676398382485,-166.82017935102851,-166.94311382877447,8.063747950294216,0.1,0.004662275314331055,0.10971736907958984,0.042110544,0.010400655,-138.50325043723475,12000,0.9795694351196289,2.283903824570049e-06,9.453293477793305e-07
40,1.2677874565124512,-166.7940512825625,0.02023007443848151,-166.76006216496998,-166.84465860225203,14.777410589403049,0.1,0.005689144134521484,0.11460638046264648,0.024909409,0.0033745773,-141.33233052176752,12000,0.9691524505615234,1.8273919085314447e-06,5.506040828386263e-07
41,1.2500290870666504,-166.74234109560416,0.013719635943411098,-166.71980735741033,-166.78198040890175,11.387635395512795,0.1,0.004632711410522461,0.11032891273498535,0.019846072,0.0039013298,-143.87333157915117,12000,0.9837436676025391,6.675661803276317e-07,4.7676149912562645e-07
42,1.1893656253814697,-166.71490942329325,0.010659384540784652,-166.69204035349438,-166.74498760926997,8.299131724906449,0.1,0.004610300064086914,0.10997843742370605,0.04534346,0.009911163,-146.15748936356536,12000,0.9429295063018799,4.5084620009687084e-07,4.413214053883764e-07
